date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"61,00",,,"61,00","0,00",0,0,EDST
12.11.2024,"61,00",,,"61,00","0,00",0,0,EDST
11.11.2024,"61,00",,,"61,00","0,00",0,0,EDST
08.11.2024,"61,00",,,"61,00","0,00",0,0,EDST
07.11.2024,"61,00",,,"61,00","0,00",0,0,EDST
06.11.2024,"61,00",,,"61,00","0,00",0,0,EDST
05.11.2024,"61,00",,,"61,00","0,00",0,0,EDST
04.11.2024,"61,00",,,"61,00","0,00",0,0,EDST
01.11.2024,"61,00",,,"61,00","0,00",0,0,EDST
31.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
30.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
29.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
28.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
25.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
24.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
22.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
21.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
18.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
17.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
16.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
15.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
14.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
10.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
09.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
08.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
07.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
04.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
03.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
02.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
01.10.2024,"61,00",,,"61,00","0,00",0,0,EDST
30.9.2024,"61,00",,,"61,00","0,00",0,0,EDST
27.9.2024,"61,00",,,"61,00","0,00",0,0,EDST
26.9.2024,"61,00",,,"61,00","0,00",0,0,EDST
25.9.2024,"61,00",,,"61,00","0,00",0,0,EDST
24.9.2024,"61,00",,,"61,00","0,00",0,0,EDST
23.9.2024,"61,00",,,"61,00","0,00",0,0,EDST
20.9.2024,"61,00",,,"61,00","0,00",0,0,EDST
19.9.2024,"61,00",,,"61,00","0,00",0,0,EDST
18.9.2024,"61,00",,,"61,00","0,00",0,0,EDST
17.9.2024,"61,00",,,"61,00","0,00",0,0,EDST
