date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"55.000,00","55.000,00","55.000,00","55.000,00","2,69",5,275.000,FERS
12.11.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
11.11.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
08.11.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
07.11.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
06.11.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
05.11.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
04.11.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
01.11.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
31.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
30.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
29.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
28.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
25.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
24.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
22.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
21.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
18.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
17.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
16.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
15.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
14.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
10.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
09.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
08.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
07.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
04.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
03.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
02.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
01.10.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
30.9.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
27.9.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
26.9.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
25.9.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
24.9.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
23.9.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
20.9.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",11,589.171,FERS
19.9.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
18.9.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
17.9.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
16.9.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",1,53.561,FERS
13.9.2024,"53.561,00",,,"53.561,00","0,00",0,0,FERS
