date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
12.11.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
11.11.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
08.11.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
07.11.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
06.11.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
05.11.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
04.11.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
01.11.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
31.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
30.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
29.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
28.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
25.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
24.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
22.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
21.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
18.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
17.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
16.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
15.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
14.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
10.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
09.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
08.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
07.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
04.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
03.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
02.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
01.10.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
30.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
27.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
26.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
25.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
24.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
23.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
20.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
19.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
18.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
17.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
16.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
13.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
12.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
11.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
10.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
06.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
05.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
04.9.2024,"4.500,00",,,"4.500,00","0,00",0,0,INPR
