date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"16,00",,,"16,00","0,00",0,0,RZLV
12.11.2024,"16,00",,,"16,00","0,00",0,0,RZLV
11.11.2024,"16,00",,,"16,00","0,00",0,0,RZLV
08.11.2024,"16,00",,,"16,00","0,00",0,0,RZLV
07.11.2024,"16,00",,,"16,00","0,00",0,0,RZLV
06.11.2024,"16,00",,,"16,00","0,00",0,0,RZLV
05.11.2024,"16,00",,,"16,00","0,00",0,0,RZLV
04.11.2024,"16,00",,,"16,00","0,00",0,0,RZLV
01.11.2024,"16,00",,,"16,00","0,00",0,0,RZLV
31.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
30.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
29.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
28.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
25.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
24.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
22.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
21.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
18.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
17.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
16.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
15.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
14.10.2024,"16,00","16,00","16,00","16,00","0,00",2.700,43.200,RZLV
10.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
09.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
08.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
07.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
04.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
03.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
02.10.2024,"16,00","16,00","16,00","16,00","0,00",449,7.184,RZLV
01.10.2024,"16,00",,,"16,00","0,00",0,0,RZLV
30.9.2024,"16,00",,,"16,00","0,00",0,0,RZLV
27.9.2024,"16,00",,,"16,00","0,00",0,0,RZLV
26.9.2024,"16,00",,,"16,00","0,00",0,0,RZLV
25.9.2024,"16,00",,,"16,00","0,00",0,0,RZLV
24.9.2024,"16,00","16,00","16,00","16,00","-15,79",349,5.584,RZLV
23.9.2024,"19,00",,,"19,00","0,00",0,0,RZLV
20.9.2024,"19,00",,,"19,00","0,00",0,0,RZLV
19.9.2024,"19,00",,,"19,00","0,00",0,0,RZLV
18.9.2024,"19,00",,,"19,00","0,00",0,0,RZLV
17.9.2024,"19,00",,,"19,00","0,00",0,0,RZLV
16.9.2024,"19,00",,,"19,00","0,00",0,0,RZLV
13.9.2024,"19,00",,,"19,00","0,00",0,0,RZLV
12.9.2024,"19,00",,,"19,00","0,00",0,0,RZLV
11.9.2024,"19,00",,,"19,00","0,00",0,0,RZLV
10.9.2024,"19,00",,,"19,00","0,00",0,0,RZLV
06.9.2024,"19,00",,,"19,00","0,00",0,0,RZLV
05.9.2024,"19,00",,,"19,00","0,00",0,0,RZLV
04.9.2024,"19,00",,,"19,00","0,00",0,0,RZLV
03.9.2024,"19,00",,,"19,00","0,00",0,0,RZLV
02.9.2024,"19,00",,,"19,00","0,00",0,0,RZLV
30.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
29.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
27.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
26.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
23.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
22.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
21.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
20.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
19.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
16.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
15.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
14.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
13.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
12.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
09.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
08.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
07.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
06.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
05.8.2024,"19,00",,,"19,00","0,00",0,0,RZLV
01.8.2024,"19,00","19,00","19,00","19,00","-5,00",120,2.280,RZLV
31.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
30.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
29.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
26.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
25.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
24.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
23.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
22.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
19.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
18.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
17.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
16.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
15.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
12.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
11.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
10.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
09.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
08.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
05.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
04.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
03.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
02.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
01.7.2024,"20,00",,,"20,00","0,00",0,0,RZLV
28.6.2024,"20,00",,,"20,00","0,00",0,0,RZLV
27.6.2024,"20,00",,,"20,00","0,00",0,0,RZLV
26.6.2024,"20,00",,,"20,00","0,00",0,0,RZLV
25.6.2024,"20,00",,,"20,00","0,00",0,0,RZLV
24.6.2024,"20,00",,,"20,00","0,00",0,0,RZLV
