date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"45,00","45,00","45,00","45,00","0,00",3.000,135.000,RZUS
12.11.2024,"45,00","45,00","45,00","45,00","0,00",1.631,73.395,RZUS
11.11.2024,"45,00","45,00","45,00","45,00","0,00",1.800,81.000,RZUS
08.11.2024,"45,00","45,00","45,00","45,00","0,00",1.000,45.000,RZUS
07.11.2024,"45,00",,,"45,00","0,00",0,0,RZUS
06.11.2024,"45,00",,,"45,00","0,00",0,0,RZUS
05.11.2024,"45,00",,,"45,00","0,00",0,0,RZUS
04.11.2024,"45,00","45,00","45,00","45,00","0,00",200,9.000,RZUS
01.11.2024,"45,00",,,"45,00","0,00",0,0,RZUS
31.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
30.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
29.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
28.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
25.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
24.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
22.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
21.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
18.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
17.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
16.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
15.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
14.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
10.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
09.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
08.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
07.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
04.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
03.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
02.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
01.10.2024,"45,00",,,"45,00","0,00",0,0,RZUS
30.9.2024,"45,00",,,"45,00","0,00",0,0,RZUS
27.9.2024,"45,00",,,"45,00","0,00",0,0,RZUS
26.9.2024,"45,00",,,"45,00","0,00",0,0,RZUS
25.9.2024,"45,00","45,00","45,00","45,00","0,00",800,36.000,RZUS
24.9.2024,"45,00",,,"45,00","0,00",0,0,RZUS
23.9.2024,"45,00","45,00","45,00","45,00","0,00",1.380,62.100,RZUS
20.9.2024,"45,00",,,"45,00","0,00",0,0,RZUS
19.9.2024,"45,00",,,"45,00","0,00",0,0,RZUS
18.9.2024,"45,00",,,"45,00","0,00",0,0,RZUS
17.9.2024,"45,00",,,"45,00","0,00",0,0,RZUS
16.9.2024,"45,00",,,"45,00","0,00",0,0,RZUS
13.9.2024,"45,00",,,"45,00","0,00",0,0,RZUS
12.9.2024,"45,00",,,"45,00","0,00",0,0,RZUS
11.9.2024,"45,00","45,00","45,00","45,00","0,00",166,7.470,RZUS
10.9.2024,"45,00",,,"45,00","0,00",0,0,RZUS
06.9.2024,"45,00",,,"45,00","0,00",0,0,RZUS
05.9.2024,"45,00",,,"45,00","0,00",0,0,RZUS
04.9.2024,"45,00",,,"45,00","0,00",0,0,RZUS
