date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"135,00",,,"134,26","0,00",0,0,STIL
12.11.2024,"135,00","135,00","133,00","134,26","-0,55",3.106,417.010,STIL
11.11.2024,"135,00","135,00","135,00","135,00","0,00",786,106.110,STIL
08.11.2024,"135,00","135,00","135,00","135,00","0,00",678,91.530,STIL
07.11.2024,"135,00","135,00","135,00","135,00","1,76",988,133.380,STIL
06.11.2024,"132,00","133,00","132,00","132,66","-1,73",623,82.646,STIL
05.11.2024,"135,00",,,"135,00","0,00",0,0,STIL
04.11.2024,"135,00",,,"135,00","0,00",0,0,STIL
01.11.2024,"135,00","135,00","135,00","135,00","0,00",850,114.750,STIL
31.10.2024,"135,00",,,"135,00","0,00",0,0,STIL
30.10.2024,"135,00",,,"135,00","0,00",0,0,STIL
29.10.2024,"135,00","135,00","135,00","135,00","0,00",927,125.145,STIL
28.10.2024,"135,00",,,"135,00","0,00",0,0,STIL
25.10.2024,"135,00","135,00","135,00","135,00","0,00",2.513,339.255,STIL
24.10.2024,"135,00","135,00","135,00","135,00","1,50",950,128.250,STIL
22.10.2024,"133,00","133,00","133,00","133,00","-1,48",90,11.970,STIL
21.10.2024,"135,00",,,"135,00","0,00",0,0,STIL
18.10.2024,"135,00",,,"135,00","0,00",0,0,STIL
17.10.2024,"135,00","135,00","135,00","135,00","-0,47",1.000,135.000,STIL
16.10.2024,"135,00",,,"135,64","0,00",0,0,STIL
15.10.2024,"135,00",,,"135,64","0,00",0,0,STIL
14.10.2024,"135,00",,,"135,64","0,00",0,0,STIL
10.10.2024,"135,00",,,"135,64","0,00",0,0,STIL
09.10.2024,"135,00","136,00","135,00","135,64","-0,26",700,94.950,STIL
08.10.2024,"136,00",,,"136,00","0,00",0,0,STIL
07.10.2024,"136,00","136,00","136,00","136,00","0,00",250,34.000,STIL
04.10.2024,"136,00",,,"136,00","0,00",0,0,STIL
03.10.2024,"136,00","136,00","136,00","136,00","-1,90",100,13.600,STIL
02.10.2024,"140,00","140,00","137,00","138,63","-0,98",1.835,254.395,STIL
01.10.2024,"140,00","140,00","140,00","140,00","3,70",300,42.000,STIL
30.9.2024,"135,00",,,"135,00","0,00",0,0,STIL
27.9.2024,"135,00",,,"135,00","0,00",0,0,STIL
26.9.2024,"135,00",,,"135,00","0,00",0,0,STIL
25.9.2024,"135,00","135,00","135,00","135,00","2,27",1.740,234.900,STIL
24.9.2024,"132,00","132,00","132,00","132,00","0,00",120,15.840,STIL
23.9.2024,"132,00",,,"132,00","0,00",0,0,STIL
20.9.2024,"132,00",,,"132,00","0,00",0,0,STIL
19.9.2024,"132,00","132,00","132,00","132,00","-1,49",209,27.588,STIL
18.9.2024,"134,00","134,00","134,00","134,00","-2,88",190,25.460,STIL
17.9.2024,"139,00",,,"137,98","0,00",0,0,STIL
16.9.2024,"139,00",,,"137,98","0,00",0,0,STIL
13.9.2024,"139,00","139,00","136,00","137,98","2,21",440,60.710,STIL
12.9.2024,"135,00",,,"135,00","0,00",0,0,STIL
11.9.2024,"135,00",,,"135,00","0,00",0,0,STIL
10.9.2024,"135,00",,,"135,00","0,00",0,0,STIL
06.9.2024,"135,00","135,00","135,00","135,00","0,00",445,60.075,STIL
05.9.2024,"135,00","135,00","135,00","135,00","0,00",400,54.000,STIL
04.9.2024,"135,00",,,"135,00","0,00",0,0,STIL
03.9.2024,"135,00",,,"135,00","0,00",0,0,STIL
02.9.2024,"135,00",,,"135,00","0,00",0,0,STIL
30.8.2024,"135,00",,,"135,00","0,00",0,0,STIL
29.8.2024,"135,00","135,00","135,00","135,00","0,00",350,47.250,STIL
27.8.2024,"135,00","135,00","135,00","135,00","0,00",793,107.055,STIL
26.8.2024,"135,00",,,"135,00","0,00",0,0,STIL
