date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"158,00",,,"158,00","0,00",0,0,BGOR
12.11.2024,"158,00",,,"158,00","0,00",0,0,BGOR
11.11.2024,"158,00",,,"158,00","0,00",0,0,BGOR
08.11.2024,"158,00",,,"158,00","0,00",0,0,BGOR
07.11.2024,"158,00",,,"158,00","0,00",0,0,BGOR
06.11.2024,"158,00",,,"158,00","0,00",0,0,BGOR
05.11.2024,"158,00",,,"158,00","0,00",0,0,BGOR
04.11.2024,"158,00",,,"158,00","0,00",0,0,BGOR
01.11.2024,"158,00",,,"158,00","0,00",0,0,BGOR
31.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
30.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
29.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
28.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
25.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
24.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
22.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
21.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
18.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
17.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
16.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
15.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
14.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
10.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
09.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
08.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
07.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
04.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
03.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
02.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
01.10.2024,"158,00",,,"158,00","0,00",0,0,BGOR
30.9.2024,"158,00",,,"158,00","0,00",0,0,BGOR
27.9.2024,"158,00",,,"158,00","0,00",0,0,BGOR
26.9.2024,"158,00",,,"158,00","0,00",0,0,BGOR
25.9.2024,"158,00",,,"158,00","0,00",0,0,BGOR
24.9.2024,"158,00",,,"158,00","0,00",0,0,BGOR
23.9.2024,"158,00",,,"158,00","0,00",0,0,BGOR
