date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
12.11.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
11.11.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
08.11.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
07.11.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
06.11.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
05.11.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
04.11.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
01.11.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
31.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
30.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
29.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
28.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
25.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
24.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
22.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
21.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
18.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
17.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
16.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
15.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
14.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
10.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
09.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
08.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
07.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
04.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
03.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
02.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
01.10.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
30.9.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
27.9.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
26.9.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
25.9.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
24.9.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
23.9.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
20.9.2024,"9.240,00",,,"9.240,00","0,00",0,0,GIMS
