date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
12.11.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
11.11.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
08.11.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
07.11.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
06.11.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
05.11.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
04.11.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
01.11.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
31.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
30.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
29.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
28.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
25.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
24.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
22.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
21.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
18.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
17.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
16.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
15.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
14.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
10.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
09.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
08.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
07.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
04.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
03.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
02.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
01.10.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
30.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
27.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
26.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
25.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
24.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
23.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
20.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
19.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
18.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
17.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
16.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
13.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
12.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
11.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
10.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
06.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
05.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
04.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
03.9.2024,"1.200,00",,,"1.200,00","0,00",0,0,KJUBI
