date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
12.11.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
11.11.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
08.11.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
07.11.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
06.11.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
05.11.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
04.11.2024,"3.200,00","3.200,00","3.200,00","3.200,00","-3,03",53,169.600,MERM
01.11.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
31.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
30.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
29.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
28.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
25.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
24.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
22.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
21.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
18.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
17.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
16.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
15.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
14.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
10.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
09.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
08.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
07.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
04.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
03.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
02.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
01.10.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
30.9.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
27.9.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
26.9.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
25.9.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
24.9.2024,"3.300,00",,,"3.300,00","0,00",0,0,MERM
23.9.2024,"3.300,00","3.300,00","3.300,00","3.300,00","0,00",17,56.100,MERM
20.9.2024,"3.300,00","3.300,00","3.300,00","3.300,00","3,12",30,99.000,MERM
19.9.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
18.9.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
17.9.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
16.9.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
13.9.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
12.9.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
11.9.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
10.9.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
06.9.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
05.9.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
04.9.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
03.9.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
02.9.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
30.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
29.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
27.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
26.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
23.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
22.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
21.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
20.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
19.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
16.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
15.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
14.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
13.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
12.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
09.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
08.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
07.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
06.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
05.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
01.8.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
31.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
30.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
29.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
26.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
25.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
24.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
23.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
22.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
19.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
18.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
17.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
16.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
15.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
12.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
11.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
10.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
09.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
08.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
05.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
04.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
03.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
02.7.2024,"3.200,00",,,"3.200,00","0,00",0,0,MERM
