date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"199,00",,,"199,00","0,00",0,0,CEVI
12.11.2024,"199,00",,,"199,00","0,00",0,0,CEVI
11.11.2024,"199,00",,,"199,00","0,00",0,0,CEVI
08.11.2024,"199,00",,,"199,00","0,00",0,0,CEVI
07.11.2024,"199,00",,,"199,00","0,00",0,0,CEVI
06.11.2024,"199,00",,,"199,00","0,00",0,0,CEVI
05.11.2024,"199,00",,,"199,00","0,00",0,0,CEVI
04.11.2024,"199,00",,,"199,00","0,00",0,0,CEVI
01.11.2024,"199,00",,,"199,00","0,00",0,0,CEVI
31.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
30.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
29.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
28.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
25.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
24.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
22.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
21.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
18.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
17.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
16.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
15.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
14.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
10.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
09.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
08.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
07.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
04.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
03.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
02.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
01.10.2024,"199,00",,,"199,00","0,00",0,0,CEVI
30.9.2024,"199,00",,,"199,00","0,00",0,0,CEVI
27.9.2024,"199,00",,,"199,00","0,00",0,0,CEVI
26.9.2024,"199,00",,,"199,00","0,00",0,0,CEVI
25.9.2024,"199,00",,,"199,00","0,00",0,0,CEVI
