date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"577,00",,,"577,00","0,00",0,0,RZTK
12.11.2024,"577,00",,,"577,00","0,00",0,0,RZTK
11.11.2024,"577,00",,,"577,00","0,00",0,0,RZTK
08.11.2024,"577,00",,,"577,00","0,00",0,0,RZTK
07.11.2024,"577,00",,,"577,00","0,00",0,0,RZTK
06.11.2024,"577,00",,,"577,00","0,00",0,0,RZTK
05.11.2024,"577,00",,,"577,00","0,00",0,0,RZTK
04.11.2024,"577,00",,,"577,00","0,00",0,0,RZTK
01.11.2024,"577,00",,,"577,00","0,00",0,0,RZTK
31.10.2024,"577,00",,,"577,00","0,00",0,0,RZTK
30.10.2024,"577,00",,,"577,00","0,00",0,0,RZTK
29.10.2024,"577,00",,,"577,00","0,00",0,0,RZTK
28.10.2024,"577,00",,,"577,00","0,00",0,0,RZTK
25.10.2024,"577,00",,,"577,00","0,00",0,0,RZTK
24.10.2024,"577,00",,,"577,00","0,00",0,0,RZTK
22.10.2024,"577,00",,,"577,00","0,00",0,0,RZTK
21.10.2024,"577,00",,,"577,00","0,00",0,0,RZTK
18.10.2024,"577,00","577,00","577,00","577,00","15,40",135,77.895,RZTK
17.10.2024,"500,00",,,"500,00","0,00",0,0,RZTK
16.10.2024,"500,00",,,"500,00","0,00",0,0,RZTK
15.10.2024,"500,00",,,"500,00","0,00",0,0,RZTK
14.10.2024,"500,00",,,"500,00","0,00",0,0,RZTK
10.10.2024,"500,00",,,"500,00","0,00",0,0,RZTK
09.10.2024,"500,00","500,00","500,00","500,00","-10,71",7,3.500,RZTK
08.10.2024,"560,00",,,"560,00","0,00",0,0,RZTK
07.10.2024,"560,00",,,"560,00","0,00",0,0,RZTK
04.10.2024,"560,00",,,"560,00","0,00",0,0,RZTK
03.10.2024,"560,00",,,"560,00","0,00",0,0,RZTK
02.10.2024,"560,00",,,"560,00","0,00",0,0,RZTK
01.10.2024,"560,00",,,"560,00","0,00",0,0,RZTK
30.9.2024,"560,00",,,"560,00","0,00",0,0,RZTK
27.9.2024,"560,00",,,"560,00","0,00",0,0,RZTK
26.9.2024,"560,00",,,"560,00","0,00",0,0,RZTK
25.9.2024,"560,00",,,"560,00","0,00",0,0,RZTK
24.9.2024,"560,00",,,"560,00","0,00",0,0,RZTK
23.9.2024,"560,00",,,"560,00","0,00",0,0,RZTK
20.9.2024,"560,00",,,"560,00","0,00",0,0,RZTK
19.9.2024,"560,00",,,"560,00","0,00",0,0,RZTK
18.9.2024,"560,00",,,"560,00","0,00",0,0,RZTK
17.9.2024,"560,00",,,"560,00","0,00",0,0,RZTK
16.9.2024,"560,00",,,"560,00","0,00",0,0,RZTK
13.9.2024,"560,00","560,00","560,00","560,00","-0,18",4,2.240,RZTK
12.9.2024,"561,00",,,"561,00","0,00",0,0,RZTK
11.9.2024,"561,00",,,"561,00","0,00",0,0,RZTK
10.9.2024,"561,00",,,"561,00","0,00",0,0,RZTK
06.9.2024,"561,00",,,"561,00","0,00",0,0,RZTK
05.9.2024,"561,00",,,"561,00","0,00",0,0,RZTK
04.9.2024,"561,00",,,"561,00","0,00",0,0,RZTK
03.9.2024,"561,00",,,"561,00","0,00",0,0,RZTK
02.9.2024,"561,00",,,"561,00","0,00",0,0,RZTK
30.8.2024,"561,00",,,"561,00","0,00",0,0,RZTK
29.8.2024,"561,00",,,"561,00","0,00",0,0,RZTK
27.8.2024,"561,00",,,"561,00","0,00",0,0,RZTK
26.8.2024,"561,00",,,"561,00","0,00",0,0,RZTK
23.8.2024,"561,00",,,"561,00","0,00",0,0,RZTK
22.8.2024,"561,00",,,"561,00","0,00",0,0,RZTK
21.8.2024,"561,00",,,"561,00","0,00",0,0,RZTK
20.8.2024,"561,00",,,"561,00","0,00",0,0,RZTK
19.8.2024,"561,00",,,"561,00","0,00",0,0,RZTK
16.8.2024,"561,00",,,"561,00","0,00",0,0,RZTK
15.8.2024,"561,00",,,"561,00","0,00",0,0,RZTK
14.8.2024,"561,00",,,"561,00","0,00",0,0,RZTK
13.8.2024,"561,00",,,"561,00","0,00",0,0,RZTK
12.8.2024,"561,00",,,"561,00","0,00",0,0,RZTK
09.8.2024,"561,00","561,00","561,00","561,00","2,94",65,36.465,RZTK
08.8.2024,"545,00","545,00","545,00","545,00","2,83",35,19.075,RZTK
07.8.2024,"530,00","530,00","530,00","530,00","2,91",93,49.290,RZTK
06.8.2024,"515,00",,,"515,00","0,00",0,0,RZTK
05.8.2024,"515,00",,,"515,00","0,00",0,0,RZTK
01.8.2024,"515,00",,,"515,00","0,00",0,0,RZTK
31.7.2024,"515,00",,,"515,00","0,00",0,0,RZTK
30.7.2024,"515,00","515,00","515,00","515,00","3,00",47,24.205,RZTK
29.7.2024,"500,00","500,00","500,00","500,00","0,00",12,6.000,RZTK
26.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
25.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
24.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
23.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
22.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
19.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
18.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
17.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
16.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
15.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
12.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
11.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
10.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
09.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
08.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
05.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
04.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
03.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
02.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
01.7.2024,"500,00",,,"500,00","0,00",0,0,RZTK
28.6.2024,"500,00","500,00","500,00","500,00","0,00",7,3.500,RZTK
27.6.2024,"500,00",,,"500,00","0,00",0,0,RZTK
26.6.2024,"500,00",,,"500,00","0,00",0,0,RZTK
25.6.2024,"500,00",,,"500,00","0,00",0,0,RZTK
24.6.2024,"500,00",,,"500,00","0,00",0,0,RZTK
20.6.2024,"500,00",,,"500,00","0,00",0,0,RZTK
19.6.2024,"500,00",,,"500,00","0,00",0,0,RZTK
18.6.2024,"500,00",,,"500,00","0,00",0,0,RZTK
17.6.2024,"500,00",,,"500,00","0,00",0,0,RZTK
14.6.2024,"500,00",,,"500,00","0,00",0,0,RZTK
13.6.2024,"500,00",,,"500,00","0,00",0,0,RZTK
