date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"6.050,00",,,"6.050,00","0,00",0,0,ZPOG
12.11.2024,"6.050,00",,,"6.050,00","0,00",0,0,ZPOG
11.11.2024,"6.050,00","6.050,00","6.050,00","6.050,00","175,13",1,6.050,ZPOG
08.11.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
07.11.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
06.11.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
05.11.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
04.11.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
01.11.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
31.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
30.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
29.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
28.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
25.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
24.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
22.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
21.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
18.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
17.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
16.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
15.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
14.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
10.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
09.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
08.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
07.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
04.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
03.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
02.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
01.10.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
30.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
27.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
26.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
25.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
24.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
23.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
20.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
19.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
18.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
17.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
16.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
13.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
12.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
11.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
10.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
06.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
05.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
04.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
03.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
02.9.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
30.8.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
29.8.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
27.8.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
26.8.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
23.8.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
22.8.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
21.8.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
20.8.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
19.8.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
16.8.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
15.8.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
14.8.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
13.8.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
12.8.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
09.8.2024,"2.199,00",,,"2.199,00","0,00",0,0,ZPOG
08.8.2024,"2.199,00","2.199,00","2.199,00","2.199,00","-2,96",403,886.197,ZPOG
07.8.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
06.8.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
05.8.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
01.8.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
31.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
30.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
29.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
26.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
25.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
24.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
23.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
22.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
19.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
18.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
17.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
16.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
15.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
12.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
11.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
10.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
09.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
08.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
05.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
04.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
03.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
02.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
01.7.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
28.6.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
27.6.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
26.6.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
25.6.2024,"2.266,00",,,"2.266,00","0,00",0,0,ZPOG
