date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
12.11.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
11.11.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
08.11.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
07.11.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
06.11.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
05.11.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
04.11.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
01.11.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
31.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
30.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
29.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
28.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
25.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
24.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
22.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
21.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
18.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
17.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
16.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
15.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
14.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
10.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
09.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
08.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
07.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
04.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
03.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
02.10.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
01.10.2024,"3.030,00","3.030,00","3.030,00","3.030,00","0,00",15,45.450,AUMK
30.9.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
27.9.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
26.9.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
25.9.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
24.9.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
23.9.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
20.9.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
19.9.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
18.9.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
17.9.2024,"3.030,00",,,"3.030,00","0,00",0,0,AUMK
16.9.2024,"3.030,00","3.030,00","3.030,00","3.030,00","2,71",400,1.212.000,AUMK
13.9.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
12.9.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
11.9.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
10.9.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
06.9.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
05.9.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
04.9.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
03.9.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
02.9.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
30.8.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
29.8.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
27.8.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
26.8.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
23.8.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
22.8.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
21.8.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
20.8.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
19.8.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
16.8.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
15.8.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
14.8.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
13.8.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
12.8.2024,"2.950,00",,,"2.950,00","0,00",0,0,AUMK
