date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
12.11.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
11.11.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
08.11.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
07.11.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
06.11.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
05.11.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
04.11.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
01.11.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
31.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
30.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
29.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
28.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
25.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
24.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
22.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
21.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
18.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
17.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
16.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
15.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
14.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
10.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
09.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
08.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
07.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
04.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
03.10.2024,"1.900,00",,,"1.900,00","0,00",0,0,NEME
