date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,,,,,,0,0,OBPP
12.11.2024,,,,,,0,0,OBPP
11.11.2024,,,,,,0,0,OBPP
08.11.2024,,,,,,0,0,OBPP
07.11.2024,,,,,,0,0,OBPP
06.11.2024,,,,,,0,0,OBPP
05.11.2024,,,,,,0,0,OBPP
04.11.2024,,,,,,0,0,OBPP
01.11.2024,,,,,,0,0,OBPP
31.10.2024,,,,,,0,0,OBPP
30.10.2024,,,,,,0,0,OBPP
29.10.2024,,,,,,0,0,OBPP
28.10.2024,,,,,,0,0,OBPP
25.10.2024,,,,,,0,0,OBPP
24.10.2024,,,,,,0,0,OBPP
22.10.2024,,,,,,0,0,OBPP
21.10.2024,,,,,,0,0,OBPP
18.10.2024,,,,,,0,0,OBPP
17.10.2024,,,,,,0,0,OBPP
16.10.2024,,,,,,0,0,OBPP
15.10.2024,,,,,,0,0,OBPP
14.10.2024,,,,,,0,0,OBPP
10.10.2024,,,,,,0,0,OBPP
09.10.2024,,,,,,0,0,OBPP
08.10.2024,,,,,,0,0,OBPP
07.10.2024,,,,,,0,0,OBPP
04.10.2024,,,,,,0,0,OBPP
03.10.2024,,,,,,0,0,OBPP
02.10.2024,,,,,,0,0,OBPP
01.10.2024,,,,,,0,0,OBPP
30.9.2024,,,,,,0,0,OBPP
27.9.2024,,,,,,0,0,OBPP
26.9.2024,,,,,,0,0,OBPP
25.9.2024,,,,,,0,0,OBPP
24.9.2024,,,,,,0,0,OBPP
23.9.2024,,,,,,0,0,OBPP
20.9.2024,,,,,,0,0,OBPP
19.9.2024,,,,,,0,0,OBPP
18.9.2024,,,,,,0,0,OBPP
17.9.2024,,,,,,0,0,OBPP
16.9.2024,,,,,,0,0,OBPP
13.9.2024,,,,,,0,0,OBPP
12.9.2024,,,,,,0,0,OBPP
11.9.2024,,,,,,0,0,OBPP
10.9.2024,,,,,,0,0,OBPP
06.9.2024,,,,,,0,0,OBPP
05.9.2024,,,,,,0,0,OBPP
04.9.2024,,,,,,0,0,OBPP
03.9.2024,,,,,,0,0,OBPP
02.9.2024,,,,,,0,0,OBPP
30.8.2024,,,,,,0,0,OBPP
29.8.2024,,,,,,0,0,OBPP
27.8.2024,,,,,,0,0,OBPP
26.8.2024,,,,,,0,0,OBPP
23.8.2024,,,,,,0,0,OBPP
22.8.2024,,,,,,0,0,OBPP
21.8.2024,,,,,,0,0,OBPP
20.8.2024,,,,,,0,0,OBPP
19.8.2024,,,,,,0,0,OBPP
16.8.2024,,,,,,0,0,OBPP
15.8.2024,,,,,,0,0,OBPP
14.8.2024,,,,,,0,0,OBPP
13.8.2024,,,,,,0,0,OBPP
12.8.2024,,,,,,0,0,OBPP
09.8.2024,,,,,,0,0,OBPP
08.8.2024,,,,,,0,0,OBPP
07.8.2024,,,,,,0,0,OBPP
06.8.2024,,,,,,0,0,OBPP
05.8.2024,,,,,,0,0,OBPP
01.8.2024,,,,,,0,0,OBPP
31.7.2024,,,,,,0,0,OBPP
30.7.2024,,,,,,0,0,OBPP
29.7.2024,,,,,,0,0,OBPP
26.7.2024,,,,,,0,0,OBPP
25.7.2024,,,,,,0,0,OBPP
24.7.2024,,,,,,0,0,OBPP
23.7.2024,,,,,,0,0,OBPP
22.7.2024,,,,,,0,0,OBPP
19.7.2024,,,,,,0,0,OBPP
18.7.2024,,,,,,0,0,OBPP
17.7.2024,,,,,,0,0,OBPP
29.2.2016,,,,,,0,0,OBPP
26.2.2016,,,,,,0,0,OBPP
25.2.2016,,,,,,0,0,OBPP
24.2.2016,,,,,,0,0,OBPP
23.2.2016,,,,,,0,0,OBPP
22.2.2016,,,,,,0,0,OBPP
19.2.2016,,,,,,0,0,OBPP
18.2.2016,,,,,,0,0,OBPP
17.2.2016,,,,,,0,0,OBPP
16.2.2016,,,,,,0,0,OBPP
15.2.2016,,,,,,0,0,OBPP
12.2.2016,,,,,,0,0,OBPP
11.2.2016,,,,,,0,0,OBPP
10.2.2016,,,,,,0,0,OBPP
09.2.2016,,,,,,0,0,OBPP
08.2.2016,,,,,,0,0,OBPP
05.2.2016,,,,,,0,0,OBPP
04.2.2016,,,,,,0,0,OBPP
03.2.2016,,,,,,0,0,OBPP
02.2.2016,,,,,,0,0,OBPP
01.2.2016,,,,,,0,0,OBPP
29.1.2016,,,,,,0,0,OBPP
28.1.2016,,,,,,0,0,OBPP
27.1.2016,,,,,,0,0,OBPP
26.1.2016,,,,,,0,0,OBPP
25.1.2016,,,,,,0,0,OBPP
22.1.2016,,,,,,0,0,OBPP
21.1.2016,,,,,,0,0,OBPP
20.1.2016,,,,,,0,0,OBPP
18.1.2016,,,,,,0,0,OBPP
15.1.2016,,,,,,0,0,OBPP
14.1.2016,,,,,,0,0,OBPP
13.1.2016,,,,,,0,0,OBPP
12.1.2016,,,,,,0,0,OBPP
11.1.2016,,,,,,0,0,OBPP
08.1.2016,,,,,,0,0,OBPP
05.1.2016,,,,,,0,0,OBPP
04.1.2016,,,,,,0,0,OBPP
30.12.2015,,,,,,0,0,OBPP
29.12.2015,,,,,,0,0,OBPP
28.12.2015,,,,,,0,0,OBPP
25.12.2015,,,,,,0,0,OBPP
24.12.2015,,,,,,0,0,OBPP
23.12.2015,,,,,,0,0,OBPP
22.12.2015,,,,,,0,0,OBPP
21.12.2015,,,,,,0,0,OBPP
18.12.2015,,,,,,0,0,OBPP
17.12.2015,,,,,,0,0,OBPP
16.12.2015,,,,,,0,0,OBPP
15.12.2015,,,,,,0,0,OBPP
14.12.2015,,,,,,0,0,OBPP
11.12.2015,,,,,,0,0,OBPP
10.12.2015,,,,,,0,0,OBPP
09.12.2015,,,,,,0,0,OBPP
07.12.2015,,,,,,0,0,OBPP
04.12.2015,,,,,,0,0,OBPP
03.12.2015,,,,,,0,0,OBPP
01.12.2015,,,,,,0,0,OBPP
30.11.2015,,,,,,0,0,OBPP
27.11.2015,,,,,,0,0,OBPP
26.11.2015,,,,,,0,0,OBPP
25.11.2015,,,,,,0,0,OBPP
24.11.2015,,,,,,0,0,OBPP
23.11.2015,,,,,,0,0,OBPP
20.11.2015,,,,,,0,0,OBPP
19.11.2015,,,,,,0,0,OBPP
18.11.2015,,,,,,0,0,OBPP
17.11.2015,,,,,,0,0,OBPP
16.11.2015,,,,,,0,0,OBPP
13.11.2015,,,,,,0,0,OBPP
12.11.2015,,,,,,0,0,OBPP
11.11.2015,,,,,,0,0,OBPP
10.11.2015,,,,,,0,0,OBPP
09.11.2015,,,,,,0,0,OBPP
06.11.2015,,,,,,0,0,OBPP
05.11.2015,,,,,,0,0,OBPP
04.11.2015,,,,,,0,0,OBPP
03.11.2015,,,,,,0,0,OBPP
02.11.2015,,,,,,0,0,OBPP
30.10.2015,,,,,,0,0,OBPP
29.10.2015,,,,,,0,0,OBPP
28.10.2015,,,,,,0,0,OBPP
27.10.2015,,,,,,0,0,OBPP
26.10.2015,,,,,,0,0,OBPP
22.10.2015,,,,,,0,0,OBPP
21.10.2015,,,,,,0,0,OBPP
20.10.2015,,,,,,0,0,OBPP
19.10.2015,,,,,,0,0,OBPP
16.10.2015,,,,,,0,0,OBPP
15.10.2015,,,,,,0,0,OBPP
14.10.2015,,,,,,0,0,OBPP
13.10.2015,,,,,,0,0,OBPP
09.10.2015,,,,,,0,0,OBPP
08.10.2015,,,,,,0,0,OBPP
07.10.2015,,,,,,0,0,OBPP
06.10.2015,,,,,,0,0,OBPP
05.10.2015,,,,,,0,0,OBPP
02.10.2015,,,,,,0,0,OBPP
01.10.2015,,,,,,0,0,OBPP
30.9.2015,,,,,,0,0,OBPP
29.9.2015,,,,,,0,0,OBPP
28.9.2015,,,,,,0,0,OBPP
25.9.2015,,,,,,0,0,OBPP
24.9.2015,,,,,,0,0,OBPP
23.9.2015,,,,,,0,0,OBPP
22.9.2015,,,,,,0,0,OBPP
21.9.2015,,,,,,0,0,OBPP
18.9.2015,,,,,,0,0,OBPP
17.9.2015,,,,,,0,0,OBPP
16.9.2015,,,,,,0,0,OBPP
15.9.2015,,,,,,0,0,OBPP
14.9.2015,,,,,,0,0,OBPP
11.9.2015,,,,,,0,0,OBPP
10.9.2015,,,,,,0,0,OBPP
09.9.2015,,,,,,0,0,OBPP
07.9.2015,,,,,,0,0,OBPP
04.9.2015,,,,,,0,0,OBPP
03.9.2015,,,,,,0,0,OBPP
02.9.2015,,,,,,0,0,OBPP
01.9.2015,,,,,,0,0,OBPP
31.8.2015,,,,,,0,0,OBPP
27.8.2015,,,,,,0,0,OBPP
