date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"409,00","409,00","409,00","409,00","-0,01",215,87.935,TEL
12.11.2024,"410,00","410,00","405,00","409,03","0,01",3.135,1.282.315,TEL
11.11.2024,"409,00","409,00","409,00","409,00","0,13",260,106.340,TEL
08.11.2024,"410,00","410,00","407,00","408,47","-0,44",1.146,468.110,TEL
07.11.2024,"410,00","411,00","410,00","410,29","-1,13",700,287.200,TEL
06.11.2024,"415,00","415,00","415,00","415,00","-0,72",504,209.160,TEL
05.11.2024,"418,00","418,00","418,00","418,00","-0,48",13,5.434,TEL
04.11.2024,"420,00",,,"420,00","0,00",0,0,TEL
01.11.2024,"420,00","420,00","420,00","420,00","2,42",164,68.880,TEL
31.10.2024,"410,00","420,00","410,00","410,07","-1,43",1.452,595.420,TEL
30.10.2024,"417,00","420,00","415,00","416,02","-2,57",5.064,2.106.748,TEL
29.10.2024,"427,00",,,"427,00","0,00",0,0,TEL
28.10.2024,"427,00","427,00","427,00","427,00","2,15",15,6.405,TEL
25.10.2024,"418,00","418,00","418,00","418,00","-2,56",412,172.216,TEL
24.10.2024,"429,00","429,00","429,00","429,00","-0,23",135,57.915,TEL
22.10.2024,"430,00",,,"430,00","0,00",0,0,TEL
21.10.2024,"430,00",,,"430,00","0,00",0,0,TEL
18.10.2024,"430,00","430,00","430,00","430,00","2,04",38,16.340,TEL
17.10.2024,"415,00",,,"421,42","0,00",0,0,TEL
16.10.2024,"415,00","436,00","415,00","421,42","-3,57",288,121.368,TEL
15.10.2024,"437,00",,,"437,00","0,00",0,0,TEL
14.10.2024,"437,00",,,"437,00","0,00",0,0,TEL
10.10.2024,"437,00","437,00","437,00","437,00","0,00",50,21.850,TEL
09.10.2024,"437,00",,,"437,00","0,00",0,0,TEL
08.10.2024,"437,00","437,00","437,00","437,00","7,90",100,43.700,TEL
07.10.2024,"405,00","405,00","405,00","405,00","0,29",200,81.000,TEL
04.10.2024,"400,00","415,00","400,00","403,83","-1,50",600,242.300,TEL
03.10.2024,"410,00","410,00","410,00","410,00","-1,20",200,82.000,TEL
02.10.2024,"415,00","415,00","415,00","415,00","1,11",1.435,595.525,TEL
01.10.2024,"410,00","415,00","410,00","410,45","0,14",220,90.300,TEL
30.9.2024,"415,00",,,"409,86","0,00",0,0,TEL
27.9.2024,"415,00","415,00","409,00","409,86","1,20",350,143.450,TEL
26.9.2024,"405,00","405,00","405,00","405,00","1,17",140,56.700,TEL
25.9.2024,"400,00",,,"400,33","0,00",0,0,TEL
24.9.2024,"400,00","405,00","400,00","400,33","-2,36",750,300.250,TEL
23.9.2024,"410,00","410,00","410,00","410,00","0,00",100,41.000,TEL
20.9.2024,"410,00",,,"410,00","0,00",0,0,TEL
19.9.2024,"410,00","410,00","410,00","410,00","0,00",234,95.940,TEL
18.9.2024,"410,00","410,00","410,00","410,00","1,23",88,36.080,TEL
17.9.2024,"405,00","405,00","405,00","405,00","-0,31",1.904,771.120,TEL
16.9.2024,"405,00","410,00","405,00","406,25","-0,59",751,305.095,TEL
13.9.2024,"408,00","415,00","407,00","408,65","0,19",2.983,1.219.005,TEL
12.9.2024,"410,00",,,"407,86","0,00",0,0,TEL
11.9.2024,"410,00","410,00","405,00","407,86","0,49",700,285.500,TEL
10.9.2024,"405,00",,,"405,87","0,00",0,0,TEL
06.9.2024,"405,00","407,00","405,00","405,87","-0,33",707,286.949,TEL
