date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
12.11.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
11.11.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
08.11.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
07.11.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
06.11.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
05.11.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
04.11.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
01.11.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
31.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
30.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
29.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
28.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
25.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
24.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
22.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
21.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
18.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
17.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
16.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
15.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
14.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
10.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
09.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
08.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
07.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
04.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
03.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
02.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
01.10.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
30.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
27.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
26.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
25.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
24.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
23.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
20.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
19.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
18.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
17.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
16.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
13.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
12.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
11.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
10.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
06.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
05.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
04.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
03.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
02.9.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
30.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
29.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
27.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
26.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
23.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
22.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
21.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
20.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
19.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
16.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
15.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
14.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
13.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
12.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
09.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
08.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
07.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
06.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
05.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
01.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
31.7.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
30.7.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
29.7.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
26.7.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
25.7.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
24.7.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
23.7.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
22.7.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
19.7.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
18.7.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
17.7.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
16.7.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
15.7.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
12.7.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
11.7.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
10.7.2024,"1.800,00",,,"1.800,00","0,00",0,0,TRPS
