date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
12.11.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
11.11.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
08.11.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
07.11.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
06.11.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
05.11.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
04.11.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
01.11.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
31.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
30.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
29.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
28.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
25.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
24.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
22.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
21.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
18.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
17.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
16.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
15.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
14.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
10.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
09.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
08.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
07.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
04.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
03.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
02.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
01.10.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
30.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
27.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
26.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
25.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
24.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
23.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
20.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
19.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
18.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
17.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
16.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
13.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
12.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
11.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
10.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
06.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
05.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
04.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
03.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
02.9.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
30.8.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
29.8.2024,"17.550,00",,,"17.550,00","0,00",0,0,PKB
