date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
12.11.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
11.11.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
08.11.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
07.11.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
06.11.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
05.11.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
04.11.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
01.11.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
31.10.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
30.10.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
29.10.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
28.10.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
25.10.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
24.10.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
22.10.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
21.10.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
18.10.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
17.10.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
16.10.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
15.10.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
14.10.2024,"35.000,00",,,"35.000,00","0,00",0,0,PPIV
10.10.2024,"35.000,00","35.000,00","35.000,00","35.000,00","0,00",8,280.000,PPIV
09.10.2024,"35.001,00",,,"35.001,00","0,00",0,0,PPIV
08.10.2024,"35.001,00",,,"35.001,00","0,00",0,0,PPIV
07.10.2024,"35.001,00",,,"35.001,00","0,00",0,0,PPIV
04.10.2024,"35.001,00",,,"35.001,00","0,00",0,0,PPIV
03.10.2024,"35.001,00",,,"35.001,00","0,00",0,0,PPIV
02.10.2024,"35.001,00",,,"35.001,00","0,00",0,0,PPIV
01.10.2024,"35.001,00",,,"35.001,00","0,00",0,0,PPIV
30.9.2024,"35.001,00",,,"35.001,00","0,00",0,0,PPIV
