date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
13.11.2024,,,,,,0,0,SPOL
12.11.2024,,,,,,0,0,SPOL
11.11.2024,,,,,,0,0,SPOL
08.11.2024,,,,,,0,0,SPOL
07.11.2024,,,,,,0,0,SPOL
06.11.2024,,,,,,0,0,SPOL
05.11.2024,,,,,,0,0,SPOL
04.11.2024,,,,,,0,0,SPOL
01.11.2024,,,,,,0,0,SPOL
31.10.2024,,,,,,0,0,SPOL
30.10.2024,,,,,,0,0,SPOL
29.10.2024,,,,,,0,0,SPOL
28.10.2024,,,,,,0,0,SPOL
25.10.2024,,,,,,0,0,SPOL
24.10.2024,,,,,,0,0,SPOL
22.10.2024,,,,,,0,0,SPOL
21.10.2024,,,,,,0,0,SPOL
18.10.2024,,,,,,0,0,SPOL
17.10.2024,,,,,,0,0,SPOL
16.10.2024,,,,,,0,0,SPOL
15.10.2024,,,,,,0,0,SPOL
14.10.2024,,,,,,0,0,SPOL
10.10.2024,,,,,,0,0,SPOL
09.10.2024,,,,,,0,0,SPOL
08.10.2024,,,,,,0,0,SPOL
07.10.2024,,,,,,0,0,SPOL
04.10.2024,,,,,,0,0,SPOL
03.10.2024,,,,,,0,0,SPOL
02.10.2024,,,,,,0,0,SPOL
01.10.2024,,,,,,0,0,SPOL
30.9.2024,,,,,,0,0,SPOL
27.9.2024,,,,,,0,0,SPOL
26.9.2024,,,,,,0,0,SPOL
25.9.2024,,,,,,0,0,SPOL
24.9.2024,,,,,,0,0,SPOL
23.9.2024,,,,,,0,0,SPOL
20.9.2024,,,,,,0,0,SPOL
19.9.2024,,,,,,0,0,SPOL
18.9.2024,,,,,,0,0,SPOL
17.9.2024,,,,,,0,0,SPOL
16.9.2024,,,,,,0,0,SPOL
13.9.2024,,,,,,0,0,SPOL
12.9.2024,,,,,,0,0,SPOL
11.9.2024,,,,,,0,0,SPOL
10.9.2024,,,,,,0,0,SPOL
06.9.2024,,,,,,0,0,SPOL
05.9.2024,,,,,,0,0,SPOL
04.9.2024,,,,,,0,0,SPOL
03.9.2024,,,,,,0,0,SPOL
02.9.2024,,,,,,0,0,SPOL
30.8.2024,,,,,,0,0,SPOL
29.8.2024,,,,,,0,0,SPOL
27.8.2024,,,,,,0,0,SPOL
26.8.2024,,,,,,0,0,SPOL
23.8.2024,,,,,,0,0,SPOL
22.8.2024,,,,,,0,0,SPOL
21.8.2024,,,,,,0,0,SPOL
20.8.2024,,,,,,0,0,SPOL
19.8.2024,,,,,,0,0,SPOL
16.8.2024,,,,,,0,0,SPOL
15.8.2024,,,,,,0,0,SPOL
14.8.2024,,,,,,0,0,SPOL
13.8.2024,,,,,,0,0,SPOL
12.8.2024,,,,,,0,0,SPOL
09.8.2024,,,,,,0,0,SPOL
08.8.2024,,,,,,0,0,SPOL
07.8.2024,,,,,,0,0,SPOL
06.8.2024,,,,,,0,0,SPOL
